statement_id_i,statement_id_j,preferred_statement_id
7,66,7
7,67,7
7,68,7
7,69,7
7,70,7
7,71,7
7,72,7
7,73,7
7,74,7
7,75,7
7,16,7
7,17,7
7,18,7
7,19,7
7,20,7
7,21,7
7,22,7
7,23,7
7,24,7
7,25,7
3,10,3
3,11,3
3,12,3
3,13,3
3,14,3
3,15,3
3,16,3
3,17,3
3,18,3
3,19,3
6,98,98
6,99,99
7,8,7
7,9,7
7,10,7
7,11,7
7,12,7
7,13,7
7,14,7
7,15,7
6,48,6
6,49,6
6,50,6
6,51,6
6,52,6
6,53,6
6,54,6
6,55,6
6,56,6
6,57,6
7,46,7
7,47,7
7,48,7
7,49,7
7,50,7
7,51,7
7,52,7
7,53,7
7,54,7
7,55,7
4,65,4
4,66,4
4,67,4
4,68,4
4,69,4
4,70,4
4,71,4
4,72,4
4,73,4
4,74,4
7,26,7
7,27,7
7,28,7
7,29,7
7,30,7
7,31,7
7,32,7
7,33,7
7,34,7
7,35,7
7,56,7
7,57,7
7,58,7
7,59,7
7,60,7
7,61,7
7,62,7
7,63,7
7,64,7
7,65,7
2,66,2
2,67,2
2,68,2
2,69,2
2,70,2
2,71,2
2,72,2
2,73,2
2,74,2
2,75,2
8,25,25
8,26,26
8,27,27
8,28,28
8,29,29
8,30,30
8,31,31
8,32,32
8,33,33
8,34,34
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,10,4
4,11,4
4,12,4
4,13,4
4,14,4
7,36,7
7,37,7
7,38,7
7,39,7
7,40,7
7,41,7
7,42,7
7,43,7
7,44,7
7,45,7
1,3,1
1,4,4
1,5,1
1,6,1
1,7,7
1,8,1
1,9,1
1,10,1
1,11,11
1,12,12
6,8,6
6,9,6
6,10,6
6,11,6
6,12,6
6,13,6
6,14,6
6,15,6
6,16,6
6,17,6
3,90,90
3,91,91
3,92,92
3,93,93
3,94,94
3,95,95
3,96,96
3,97,97
3,98,98
3,99,99
9,35,9
9,36,9
9,37,37
9,38,9
9,39,39
9,40,40
9,41,41
9,42,9
9,43,43
9,44,44
3,80,80
3,81,81
3,82,3
3,83,83
3,84,84
3,85,85
3,86,3
3,87,3
3,88,88
3,89,89
2,26,26
2,27,27
2,28,28
2,29,2
2,30,30
2,31,31
2,32,32
2,33,33
2,34,34
2,35,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,2
2,15,2
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
8,75,75
8,76,76
8,77,77
8,78,78
8,79,79
8,80,80
8,81,81
8,82,82
8,83,83
8,84,84
4,85,4
4,86,4
4,87,4
4,88,4
4,89,4
4,90,4
4,91,4
4,92,4
4,93,4
4,94,4
0,41,41
0,42,42
0,43,43
0,44,44
0,45,45
0,46,46
0,47,47
0,48,0
0,49,49
0,50,50
9,45,45
9,46,46
9,47,47
9,48,9
9,49,9
9,50,50
9,51,51
9,52,52
9,53,53
9,54,54
4,55,4
4,56,4
4,57,4
4,58,4
4,59,4
4,60,4
4,61,4
4,62,4
4,63,4
4,64,4
8,15,15
8,16,16
8,17,17
8,18,18
8,19,19
8,20,20
8,21,21
8,22,22
8,23,23
8,24,24
6,68,6
6,69,6
6,70,6
6,71,6
6,72,6
6,73,6
6,74,74
6,75,6
6,76,76
6,77,77
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,23,1
1,24,1
1,25,25
1,26,1
1,27,27
1,28,28
1,29,1
